bbp205 L6_TPC_L1_cADpyr231 48781230,48788634_[3-6],48790382_[7-56],48791198_[57-58],48810123_[71-90] x
bbp208 L4_SS_cADpyr230 48781230,48788634_[3-6],48790382_[7-56],48791198_[57-58],48810123_[71-90] x
bbp102 L4_SP_cADpyr230 48781230,48788634_[3-6],48790382_[7-56],48791198_[57-58],48810123_[71-90] x
bbp207 L6_UTPC_cADpyr231 48781230,48788634_[3-6],48790382_[7-56],48791198_[57-58],48810123_[71-90] x
bbp054 L23_PC_cADpyr229 48781230,48788634_[3-6],48790382_[7-56],48791198_[57-58],48810123_[71-90] x
bbp155 L5_UTPC_cADpyr232 48781230,48788634_[3-6],48790382_[7-56],48791198_[57-58],48810123_[71-90] x
bbp152 L5_STPC_cADpyr232 48781230,48788634_[3-6],48790382_[7-56],48791198_[57-58],48810123_[71-90] x
bbp176 L6_IPC_cADpyr231 48808689_1,48808689_[2-5],48810920_[10-28] x
bbp206 L6_TPC_L4_cADpyr231 48808689_1,48808689_[2-5],48810920_[10-28] x
bbp156 L6_BPC_cADpyr231 48808689_1,48808689_[2-5],48810920_[10-28] x
bbp153 L5_TTPC1_cADpyr232 48816838_32,48814679_30,48814679_31,48816838_[33-35],48837153_[40-70],48856011_[71-90],48919184_[1-5],48826422_[100-105],48956055_[10-15],48957222_[16-25],48983537_[110-130] x
bbp154 L5_TTPC2_cADpyr232 48816838_32,48814679_30,48814679_31,48816838_[33-35],48837153_[40-70],48856011_[71-90],48919184_[1-5],48826422_[100-105],48956055_[10-15],48957222_[16-25],48983537_[110-130] x
bbp098 L4_PC_cADpyr230 48816838_32,48814679_30,48814679_31,48816838_[33-35],48837153_[40-70],48856011_[71-90],48919184_[1-5],48826422_[100-105],48956055_[10-15],48957222_[16-25],48983537_[110-130] x
